prefix;word;suffix_adj;suffix
Harming;City;purple;Glory
Chosen;System;shining;doom
Blue;Hole;divine;light
Delightful;Mountain;destructive;rainbows
Lost;Urban;wonderful;ape
Hurting;Infrastructure;Lavender;Honor
Picked;Void;Gleaming;Catastrophe
Indigo;Summit;Celestial;Illumination
Pleasurable;Metropolis;Devastating;Spectrum
Misplaced;Mechanism;Splendid;Gorilla
Bold;Pit;Violet;Majesty
Adored;Peak;Radiant;Apocalypse
Strayed;Municipality;Heavenly;Radiance
Crimson;Network;Ruinous;Prism
Preferred;Cavity;Marvelous;Chimpanzee
Melancholy;Range;Plum;Splendor
Gratifying;Downtown;Glittering;Armageddon
Displaced;Organization;Sacred;Luminescence
Azure;Abyss;Catastrophic;Colorful
Cherished;Plateau;Amazing;Baboon
Confused;Skyscraper;Grape;Triumph
Mystic;Framework;Luminous;Fate
Joyful;Tunnel;Divine;Illuminating
Trapped;Cliff;Terrible;Refraction
Smitten;Cave;Magnificent;Primate
Sorrowful;Canyon;Majestic;Destruction
